product_name,customer_marital_status,customer_gender,territory_name,special_offer_type,special_offer_category,order_date,status,delivery_days,subtotal,order_qty,unit_price,unit_price_discount
"Mountain-500 Silver, 48",M,M,Northwest,No Discount,No Discount,2014-05-01,entregue no prazo,7,68.97,1,9.99,0.0
"Half-Finger Gloves, L",M,M,Northwest,No Discount,No Discount,2013-11-24,entregue no prazo,7,539.99,1,539.99,0.0
"ML Mountain Frame-W - Silver, 38",M,M,Northwest,No Discount,No Discount,2013-07-17,entregue no prazo,7,45.58,1,8.99,0.0
"Mountain Bike Socks, L",S,F,Northwest,No Discount,No Discount,2013-09-30,entregue no prazo,7,78.48,1,9.99,0.0
Hitch Rack - 4-Bike,M,M,Northwest,No Discount,No Discount,2014-01-25,entregue no prazo,7,11.94,1,7.95,0.0
HL Mountain Tire,M,M,Northwest,No Discount,No Discount,2013-08-20,entregue no prazo,7,119.92,1,54.99,0.0
"Road-750 Black, 44",S,F,Northwest,No Discount,No Discount,2013-07-18,entregue no prazo,7,27.28,1,24.99,0.0
"LL Touring Frame - Blue, 50",S,M,Northwest,No Discount,No Discount,2014-01-08,entregue no prazo,7,37.21,1,21.98,0.0
"Classic Vest, S",S,M,Northwest,No Discount,No Discount,2013-11-05,entregue no prazo,7,193.98,1,4.99,0.0
"LL Touring Frame - Blue, 50",M,M,Northwest,No Discount,No Discount,2013-11-28,entregue no prazo,7,147.28,1,24.99,0.0
"Touring-3000 Blue, 44",S,M,Northwest,No Discount,No Discount,2014-01-26,entregue no prazo,7,64.97,1,34.99,0.0
"ML Mountain Frame-W - Silver, 42",M,M,Northwest,No Discount,No Discount,2013-09-15,entregue no prazo,7,49.97,1,9.99,0.0
"Men's Sports Shorts, M",S,F,Northwest,No Discount,No Discount,2013-08-11,entregue no prazo,7,47.94,1,7.95,0.0
Hydration Pack - 70 oz.,S,M,Northwest,No Discount,No Discount,2014-06-30,entregue no prazo,7,12.94,1,7.95,0.0
"Mountain-200 Black, 38",S,F,Northwest,No Discount,No Discount,2013-11-06,entregue no prazo,7,180.98,1,21.98,0.0
"Touring-1000 Blue, 54",S,F,Northwest,No Discount,No Discount,2013-10-24,entregue no prazo,7,122.96,1,4.99,0.0
"ML Road Frame - Red, 52",M,M,Northwest,No Discount,No Discount,2014-01-07,entregue no prazo,7,53.99,1,53.99,0.0
"ML Mountain Frame-W - Silver, 42",M,M,Northwest,No Discount,No Discount,2013-09-16,entregue no prazo,7,78.98,1,69.99,0.0
"Half-Finger Gloves, M",S,M,Northwest,No Discount,No Discount,2014-06-04,entregue no prazo,7,27.28,1,24.99,0.0
HL Touring Seat/Saddle,M,M,Northwest,No Discount,No Discount,2014-05-09,entregue no prazo,7,27.28,1,2.29,0.0
HL Fork,M,M,Northwest,No Discount,No Discount,2013-12-02,entregue no prazo,7,39.98,1,34.99,0.0
ML Touring Seat/Saddle,S,F,Northwest,No Discount,No Discount,2014-04-11,entregue no prazo,7,56.97,1,21.98,0.0
"Mountain-100 Black, 38",S,F,Northwest,No Discount,No Discount,2013-11-28,entregue no prazo,7,38.88,1,3.99,0.0
ML Road Handlebars,M,M,Northwest,No Discount,No Discount,2014-05-02,entregue no prazo,7,54.98,1,4.99,0.0
"Mountain-500 Silver, 44",S,M,Northwest,No Discount,No Discount,2014-02-22,entregue no prazo,7,45.95,1,21.98,0.0
"Mountain-500 Black, 48",S,M,Northwest,No Discount,No Discount,2013-07-09,entregue no prazo,7,60.47,1,21.49,0.0
"Road-250 Black, 52",S,M,Northwest,No Discount,No Discount,2013-07-18,entregue no prazo,7,42.28,1,4.99,0.0
"Road-450 Red, 60",M,M,Northwest,No Discount,No Discount,2013-09-05,entregue no prazo,7,89.97,1,34.99,0.0
"LL Road Frame - Red, 58",S,F,Northwest,No Discount,No Discount,2013-09-26,entregue no prazo,7,539.99,1,539.99,0.0
"Road-750 Black, 48",M,M,Northwest,No Discount,No Discount,2013-07-21,entregue no prazo,7,74.98,1,4.99,0.0
"LL Road Frame - Black, 58",S,M,Northwest,No Discount,No Discount,2014-02-06,entregue no prazo,7,67.97,1,4.99,0.0
"Road-250 Red, 52",S,F,Northwest,No Discount,No Discount,2014-06-01,entregue no prazo,7,71.95,1,4.99,0.0
"Road-350-W Yellow, 44",S,M,Northwest,No Discount,No Discount,2013-12-17,entregue no prazo,7,49.97,1,9.99,0.0
"Road-750 Black, 52",S,F,Northwest,No Discount,No Discount,2013-10-02,entregue no prazo,7,31.28,1,28.99,0.0
"Half-Finger Gloves, L",M,M,Northwest,No Discount,No Discount,2014-05-11,entregue no prazo,7,13.98,1,4.99,0.0
"Mountain-100 Black, 48",S,M,Northwest,No Discount,No Discount,2014-01-01,entregue no prazo,7,14.98,1,4.99,0.0
"LL Mountain Frame - Silver, 48",S,F,Northwest,No Discount,No Discount,2014-04-11,entregue no prazo,7,56.97,1,21.98,0.0
"Road-450 Red, 60",S,F,Northwest,No Discount,No Discount,2013-10-18,entregue no prazo,7,42.28,1,35.0,0.0
"HL Road Frame - Black, 44",S,F,Northwest,No Discount,No Discount,2013-10-04,entregue no prazo,7,124.99,1,4.99,0.0
"Mountain-500 Black, 44",S,F,Northwest,No Discount,No Discount,2014-01-09,entregue no prazo,7,69.97,1,34.99,0.0
Road Tire Tube,M,M,Northwest,No Discount,No Discount,2014-01-29,entregue no prazo,7,96.07,1,34.99,0.0
ML Mountain Pedal,S,M,Northwest,No Discount,No Discount,2014-03-12,entregue no prazo,7,130.56,1,49.99,0.0
"Touring-2000 Blue, 54",M,M,Northwest,No Discount,No Discount,2013-12-27,entregue no prazo,7,58.95,1,8.99,0.0
"Mountain-500 Silver, 44",M,M,Northwest,No Discount,No Discount,2013-11-16,entregue no prazo,7,74.98,1,4.99,0.0
"LL Road Frame - Black, 60",S,M,Northwest,No Discount,No Discount,2013-09-06,entregue no prazo,7,69.99,1,69.99,0.0
ML Touring Seat/Saddle,S,F,Northwest,No Discount,No Discount,2014-01-29,entregue no prazo,7,96.07,1,34.99,0.0
"Long-Sleeve Logo Jersey, XL",M,M,Northwest,No Discount,No Discount,2014-02-13,entregue no prazo,7,2.29,1,2.29,0.0
LL Mountain Tire,M,M,Northwest,No Discount,No Discount,2014-06-11,entregue no prazo,7,68.97,1,34.99,0.0
"Road-450 Red, 44",M,M,Northwest,No Discount,No Discount,2013-11-01,entregue no prazo,7,37.27,1,29.99,0.0
"LL Touring Frame - Yellow, 44",M,M,Northwest,No Discount,No Discount,2013-12-09,entregue no prazo,7,11.94,1,7.95,0.0
"Road-550-W Yellow, 38",S,M,Northwest,No Discount,No Discount,2013-07-21,entregue no prazo,7,113.97,1,53.99,0.0
"ML Road Frame-W - Yellow, 38",M,M,Northwest,No Discount,No Discount,2013-11-21,entregue no prazo,7,76.95,1,9.99,0.0
"Touring-2000 Blue, 54",S,M,Northwest,No Discount,No Discount,2014-03-15,entregue no prazo,7,96.46,1,21.98,0.0
"Road-350-W Yellow, 40",S,F,Northwest,No Discount,No Discount,2014-01-21,entregue no prazo,7,114.96,1,49.99,0.0
"Road-150 Red, 52",S,M,Northwest,No Discount,No Discount,2013-07-04,entregue no prazo,7,180.98,1,159.0,0.0
"Long-Sleeve Logo Jersey, S",M,M,Northwest,No Discount,No Discount,2014-03-23,entregue no prazo,7,30.48,1,8.99,0.0
LL Mountain Rear Wheel,S,F,Northwest,No Discount,No Discount,2013-11-13,entregue no prazo,7,29.93,1,21.98,0.0
Patch Kit/8 Patches,M,M,Northwest,No Discount,No Discount,2014-04-25,entregue no prazo,7,4.99,1,4.99,0.0
"Half-Finger Gloves, L",M,M,Northwest,Volume Discount,Reseller,2014-03-06,entregue no prazo,7,7.28,1,2.29,0.0
Front Brakes,M,M,Northwest,No Discount,No Discount,2014-01-16,entregue no prazo,7,69.97,1,29.99,0.0
"Women's Mountain Shorts, L",S,F,Northwest,No Discount,No Discount,2013-09-10,entregue no prazo,7,27.28,1,2.29,0.0
ML Fork,S,M,Northwest,No Discount,No Discount,2013-10-02,entregue no prazo,7,23.97,1,8.99,0.0
"Road-650 Black, 44",M,M,Northwest,No Discount,No Discount,2013-11-05,entregue no prazo,7,71.97,1,21.98,0.0
ML Mountain Seat/Saddle,M,M,Northwest,No Discount,No Discount,2013-11-05,entregue no prazo,7,39.99,1,4.99,0.0
ML Road Pedal,S,M,Northwest,No Discount,No Discount,2014-06-18,entregue no prazo,7,96.07,1,3.99,0.0
"Mountain-100 Black, 38",S,F,Northwest,No Discount,No Discount,2013-10-19,entregue no prazo,7,39.98,1,4.99,0.0
"ML Road Frame - Red, 52",M,M,Northwest,No Discount,No Discount,2014-06-05,entregue no prazo,7,99.47,1,35.0,0.0
"HL Mountain Frame - Black, 42",S,M,Northwest,No Discount,No Discount,2014-04-01,entregue no prazo,7,120.95,1,8.99,0.0
"Men's Bib-Shorts, L",M,M,Northwest,No Discount,No Discount,2014-06-24,entregue no prazo,7,34.98,1,4.99,0.0
"Road-650 Red, 62",M,M,Northwest,No Discount,No Discount,2014-02-01,entregue no prazo,7,39.99,1,4.99,0.0
All-Purpose Bike Stand,S,F,Northwest,No Discount,No Discount,2013-12-10,entregue no prazo,7,110.46,1,34.99,0.0
Fender Set - Mountain,S,F,Northwest,No Discount,No Discount,2014-02-21,entregue no prazo,7,74.98,1,35.0,0.0
"HL Road Frame - Black, 52",S,M,Northwest,No Discount,No Discount,2014-01-06,entregue no prazo,7,71.97,1,21.98,0.0
Road Tire Tube,S,M,Northwest,No Discount,No Discount,2014-02-26,entregue no prazo,7,13.98,1,4.99,0.0
"Classic Vest, L",S,F,Northwest,No Discount,No Discount,2013-07-23,entregue no prazo,7,180.98,1,21.98,0.0
"Road-450 Red, 48",S,M,Northwest,No Discount,No Discount,2014-03-18,entregue no prazo,7,95.57,1,8.99,0.0
"Short-Sleeve Classic Jersey, M",S,M,Northwest,No Discount,No Discount,2014-01-06,entregue no prazo,7,24.99,1,24.99,0.0
"Road-550-W Yellow, 38",S,M,Northwest,No Discount,No Discount,2014-05-21,entregue no prazo,7,4.99,1,4.99,0.0
"Men's Bib-Shorts, L",M,M,Northwest,No Discount,No Discount,2014-04-15,entregue no prazo,7,14.98,1,4.99,0.0
"Road-350-W Yellow, 44",M,M,Northwest,No Discount,No Discount,2013-10-12,entregue no prazo,7,16.27,1,2.29,0.0
"ML Mountain Frame - Black, 44",M,M,Northwest,No Discount,No Discount,2014-06-25,entregue no prazo,7,126.95,1,8.99,0.0
ML Mountain Seat/Saddle,S,F,Northwest,No Discount,No Discount,2014-03-22,entregue no prazo,7,78.96,1,9.99,0.0
Touring Tire Tube,S,M,Northwest,No Discount,No Discount,2013-11-23,entregue no prazo,7,38.98,1,3.99,0.0
"ML Mountain Frame-W - Silver, 40",S,M,Northwest,No Discount,No Discount,2013-12-10,entregue no prazo,7,96.07,1,24.49,0.0
Front Derailleur,S,M,Northwest,No Discount,No Discount,2014-05-24,entregue no prazo,7,49.97,1,9.99,0.0
"Half-Finger Gloves, L",M,M,Northwest,No Discount,No Discount,2013-09-29,entregue no prazo,7,37.27,1,29.99,0.0
LL Touring Handlebars,S,F,Northwest,No Discount,No Discount,2013-09-21,entregue no prazo,7,89.98,1,49.99,0.0
"LL Touring Frame - Blue, 44",M,M,Northwest,No Discount,No Discount,2014-03-16,entregue no prazo,7,47.97,1,3.99,0.0
Touring Rear Wheel,S,M,Northwest,No Discount,No Discount,2013-09-28,entregue no prazo,7,68.97,1,34.99,0.0
"Road-750 Black, 58",S,M,Northwest,No Discount,No Discount,2014-02-25,entregue no prazo,7,78.98,1,8.99,0.0
"Touring-3000 Blue, 62",S,F,Northwest,No Discount,No Discount,2014-01-13,entregue no prazo,7,7.28,1,4.99,0.0
"HL Mountain Frame - Silver, 46",S,M,Northwest,No Discount,No Discount,2013-09-13,entregue no prazo,7,94.46,1,34.99,0.0
"Road-150 Red, 56",M,M,Northwest,No Discount,No Discount,2014-02-08,entregue no prazo,7,83.97,1,54.99,0.0
"Road-150 Red, 52",M,M,Northwest,No Discount,No Discount,2013-08-31,entregue no prazo,7,15.23,1,4.99,0.0
LL Mountain Seat/Saddle,S,M,Northwest,No Discount,No Discount,2014-02-04,entregue no prazo,7,13.98,1,8.99,0.0
"Touring-3000 Blue, 44",M,M,Northwest,No Discount,No Discount,2013-08-02,entregue no prazo,7,60.47,1,34.99,0.0
"Touring-2000 Blue, 54",S,M,Northwest,No Discount,No Discount,2014-04-26,entregue no prazo,7,53.99,1,53.99,0.0
"HL Road Frame - Red, 62",M,M,Northwest,No Discount,No Discount,2013-12-08,entregue no prazo,7,64.47,1,34.99,0.0
HL Headset,M,M,Northwest,No Discount,No Discount,2013-08-17,entregue no prazo,7,67.59,1,32.6,0.0
Headlights - Weatherproof,S,M,Northwest,No Discount,No Discount,2013-10-14,entregue no prazo,7,81.46,1,24.49,0.0
"LL Mountain Frame - Silver, 42",S,M,Northwest,No Discount,No Discount,2014-03-03,entregue no prazo,7,81.45,1,4.99,0.0
"HL Road Frame - Red, 58",M,M,Northwest,No Discount,No Discount,2013-12-14,entregue no prazo,7,44.22,1,7.95,0.0
"Mountain Bike Socks, M",S,F,Northwest,No Discount,No Discount,2013-07-31,entregue no prazo,7,148.47,1,53.99,0.0
"LL Road Frame - Black, 62",S,F,Northwest,No Discount,No Discount,2014-06-05,entregue no prazo,7,4.99,1,4.99,0.0
"Road-650 Red, 60",M,M,Northwest,No Discount,No Discount,2014-05-06,entregue no prazo,7,69.99,1,69.99,0.0
LL Mountain Pedal,S,M,Northwest,No Discount,No Discount,2013-11-20,entregue no prazo,7,67.59,1,34.99,0.0
"ML Mountain Frame-W - Silver, 42",M,M,Northwest,No Discount,No Discount,2013-07-31,entregue no prazo,7,148.47,1,53.99,0.0
"Road-450 Red, 48",S,M,Northwest,No Discount,No Discount,2013-07-20,entregue no prazo,7,146.06,1,34.99,0.0
"Touring-2000 Blue, 54",S,M,Northwest,No Discount,No Discount,2013-10-30,entregue no prazo,7,69.99,1,69.99,0.0
"Road-550-W Yellow, 40",S,F,Northwest,No Discount,No Discount,2014-02-26,entregue no prazo,7,69.97,1,29.99,0.0
"Women's Mountain Shorts, S",M,M,Northwest,No Discount,No Discount,2014-06-02,entregue no prazo,7,37.29,1,35.0,0.0
LL Road Seat/Saddle,S,M,Northwest,No Discount,No Discount,2013-11-16,entregue no prazo,7,13.98,1,8.99,0.0
"Men's Bib-Shorts, L",M,M,Northwest,No Discount,No Discount,2014-04-29,entregue no prazo,7,81.46,1,34.99,0.0
Minipump,S,F,Northwest,No Discount,No Discount,2014-04-25,entregue no prazo,7,13.98,1,8.99,0.0
ML Road Tire,S,F,Northwest,No Discount,No Discount,2014-04-01,entregue no prazo,7,78.98,1,69.99,0.0
"LL Touring Frame - Blue, 50",M,M,Northwest,No Discount,No Discount,2014-03-18,entregue no prazo,7,121.57,1,49.99,0.0
"Touring-3000 Yellow, 44",M,M,Northwest,No Discount,No Discount,2014-01-10,entregue no prazo,7,38.88,1,32.6,0.0
"Road-450 Red, 52",S,F,Northwest,No Discount,No Discount,2014-06-03,entregue no prazo,7,32.28,1,2.29,0.0
"LL Road Frame - Black, 60",M,M,Northwest,No Discount,No Discount,2013-07-06,entregue no prazo,7,119.98,1,49.99,0.0
Cable Lock,S,F,Northwest,No Discount,No Discount,2013-09-27,entregue no prazo,7,187.98,1,3.99,0.0
"Mountain-300 Black, 40",S,F,Northwest,No Discount,No Discount,2013-10-25,entregue no prazo,7,23.97,1,9.99,0.0
"Road-150 Red, 52",S,F,Northwest,No Discount,No Discount,2014-05-22,entregue no prazo,7,68.97,1,34.99,0.0
"Touring-3000 Yellow, 62",S,F,Northwest,No Discount,No Discount,2014-04-04,entregue no prazo,7,23.97,1,4.99,0.0
LL Road Tire,S,M,Northwest,No Discount,No Discount,2013-07-11,entregue no prazo,7,42.28,1,35.0,0.0
Touring Pedal,S,F,Northwest,No Discount,No Discount,2014-01-21,entregue no prazo,7,114.96,1,49.99,0.0
"HL Touring Frame - Yellow, 50",S,F,Northwest,No Discount,No Discount,2014-01-06,entregue no prazo,7,39.99,1,35.0,0.0
HL Road Tire,S,M,Northwest,No Discount,No Discount,2013-10-13,entregue no prazo,7,25.22,1,7.95,0.0
"Mountain-300 Black, 48",M,M,Northwest,No Discount,No Discount,2013-11-15,entregue no prazo,7,54.98,1,4.99,0.0
"Road-150 Red, 48",S,F,Northwest,No Discount,No Discount,2014-01-25,entregue no prazo,7,63.97,1,34.99,0.0
"Full-Finger Gloves, S",S,F,Northwest,No Discount,No Discount,2014-02-26,entregue no prazo,7,69.97,1,34.99,0.0
"Short-Sleeve Classic Jersey, XL",M,M,Northwest,No Discount,No Discount,2013-10-04,entregue no prazo,7,54.98,1,4.99,0.0
"Mountain-300 Black, 48",M,M,Northwest,No Discount,No Discount,2013-08-10,entregue no prazo,7,34.98,1,4.99,0.0
"Touring-2000 Blue, 46",S,F,Northwest,No Discount,No Discount,2013-08-29,entregue no prazo,7,42.28,1,4.99,0.0
Minipump,S,F,Northwest,No Discount,No Discount,2013-07-26,entregue no prazo,7,42.28,1,4.99,0.0
"Mountain-500 Black, 52",M,M,Northwest,No Discount,No Discount,2014-05-27,entregue no prazo,7,39.98,1,4.99,0.0
"Road-650 Red, 62",M,M,Northwest,No Discount,No Discount,2014-05-22,entregue no prazo,7,96.46,1,24.49,0.0
"Mountain-400-W Silver, 46",S,M,Northwest,No Discount,No Discount,2013-11-28,entregue no prazo,7,74.98,1,4.99,0.0
HL Mountain Handlebars,M,M,Northwest,No Discount,No Discount,2013-11-14,entregue no prazo,7,71.58,1,3.99,0.0
ML Mountain Pedal,M,M,Northwest,No Discount,No Discount,2013-09-01,entregue no prazo,7,69.92,1,35.0,0.0
"Long-Sleeve Logo Jersey, S",S,M,Northwest,No Discount,No Discount,2014-04-25,entregue no prazo,7,61.96,1,21.98,0.0
"Road-250 Black, 52",S,M,Northwest,No Discount,No Discount,2014-01-16,entregue no prazo,7,78.98,1,69.99,0.0
ML Mountain Seat/Saddle,M,M,Northwest,No Discount,No Discount,2013-11-09,entregue no prazo,7,93.96,1,8.99,0.0
"HL Touring Frame - Yellow, 50",S,F,Northwest,No Discount,No Discount,2014-02-05,entregue no prazo,7,198.99,1,159.0,0.0
"Half-Finger Gloves, M",S,M,Northwest,No Discount,No Discount,2014-04-13,entregue no prazo,7,14.23,1,7.95,0.0
"Women's Mountain Shorts, S",S,M,Northwest,No Discount,No Discount,2014-02-11,entregue no prazo,7,123.98,1,53.99,0.0
"Women's Mountain Shorts, M",S,M,Northwest,No Discount,No Discount,2014-06-05,entregue no prazo,7,88.97,1,28.99,0.0
"HL Road Frame - Red, 58",M,M,Northwest,No Discount,No Discount,2014-02-01,entregue no prazo,7,39.99,1,35.0,0.0
"LL Road Frame - Red, 48",M,M,Northwest,No Discount,No Discount,2014-03-21,entregue no prazo,7,32.6,1,32.6,0.0
"Mountain-400-W Silver, 40",S,F,Northwest,No Discount,No Discount,2014-01-01,entregue no prazo,7,12.94,1,7.95,0.0
"Road-650 Black, 44",S,M,Northwest,No Discount,No Discount,2014-02-06,entregue no prazo,7,70.96,1,21.98,0.0
"ML Mountain Frame-W - Silver, 40",S,M,Northwest,No Discount,No Discount,2013-11-23,entregue no prazo,7,38.98,1,3.99,0.0
"ML Road Frame-W - Yellow, 38",S,M,Northwest,No Discount,No Discount,2014-01-20,entregue no prazo,7,138.97,1,8.99,0.0
HL Mountain Seat/Saddle,S,M,Northwest,No Discount,No Discount,2014-02-27,entregue no prazo,7,14.98,1,4.99,0.0
LL Mountain Seat/Saddle,S,M,Northwest,No Discount,No Discount,2014-01-09,entregue no prazo,7,59.27,1,21.98,0.0
"Women's Tights, S",S,F,Northwest,No Discount,No Discount,2013-10-03,entregue no prazo,7,71.97,1,21.98,0.0
"LL Touring Frame - Blue, 62",S,M,Northwest,No Discount,No Discount,2014-06-23,entregue no prazo,7,24.99,1,24.99,0.0
"Mountain-100 Silver, 38",M,M,Northwest,No Discount,No Discount,2014-06-05,entregue no prazo,7,88.97,1,28.99,0.0
"Men's Sports Shorts, M",M,M,Northwest,No Discount,No Discount,2013-08-21,entregue no prazo,7,89.97,1,49.99,0.0
"Mountain-300 Black, 48",M,M,Northwest,No Discount,No Discount,2014-05-25,entregue no prazo,7,27.77,1,21.49,0.0
"Mountain-400-W Silver, 40",S,F,Northwest,Volume Discount,Reseller,2014-05-15,entregue no prazo,7,7.28,1,2.29,0.0
"Road-450 Red, 52",S,F,Northwest,No Discount,No Discount,2013-08-03,entregue no prazo,7,124.99,1,120.0,0.0
"Road-650 Red, 48",M,M,Northwest,Volume Discount,Reseller,2014-01-17,entregue no prazo,7,7.28,1,2.29,0.0
ML Mountain Handlebars,S,F,Northwest,No Discount,No Discount,2014-01-08,entregue no prazo,7,37.21,1,21.98,0.0
"Touring-2000 Blue, 60",S,M,Northwest,No Discount,No Discount,2013-12-07,entregue no prazo,7,46.83,1,7.95,0.0
"Mountain-500 Black, 40",S,F,Northwest,No Discount,No Discount,2013-10-13,entregue no prazo,7,36.96,1,4.99,0.0
"ML Road Frame - Red, 48",S,M,Northwest,No Discount,No Discount,2013-11-30,entregue no prazo,7,60.47,1,21.49,0.0
"LL Touring Frame - Blue, 50",S,M,Northwest,No Discount,No Discount,2013-07-18,entregue no prazo,7,58.98,1,53.99,0.0
Touring Front Wheel,S,F,Northwest,No Discount,No Discount,2014-06-19,entregue no prazo,7,74.98,1,34.99,0.0
"HL Touring Frame - Yellow, 60",S,F,Northwest,No Discount,No Discount,2013-10-08,entregue no prazo,7,64.97,1,49.99,0.0
LL Mountain Handlebars,M,M,Northwest,No Discount,No Discount,2013-08-12,entregue no prazo,7,69.99,1,69.99,0.0
"LL Mountain Frame - Silver, 48",S,F,Northwest,No Discount,No Discount,2013-09-07,entregue no prazo,7,54.96,1,4.99,0.0
"Touring-1000 Blue, 54",S,F,Northwest,No Discount,No Discount,2013-09-02,entregue no prazo,7,67.49,1,63.5,0.0
"Long-Sleeve Logo Jersey, XL",S,F,Northwest,No Discount,No Discount,2013-11-04,entregue no prazo,7,56.97,1,34.99,0.0
Bike Wash - Dissolver,S,M,Northwest,No Discount,No Discount,2013-09-20,entregue no prazo,7,71.97,1,21.98,0.0
"Mountain-500 Silver, 44",S,F,Northwest,No Discount,No Discount,2014-05-17,entregue no prazo,7,78.98,1,69.99,0.0
"Mountain-400-W Silver, 46",M,M,Northwest,No Discount,No Discount,2013-12-07,entregue no prazo,7,37.29,1,35.0,0.0
"Road-250 Black, 48",M,M,Northwest,No Discount,No Discount,2014-06-16,entregue no prazo,7,74.98,1,4.99,0.0
"Touring-3000 Yellow, 54",M,M,Northwest,No Discount,No Discount,2013-11-11,entregue no prazo,7,34.99,1,34.99,0.0
"Mountain-500 Black, 48",S,M,Northwest,No Discount,No Discount,2013-12-07,entregue no prazo,7,71.97,1,21.98,0.0
LL Touring Seat/Saddle,S,F,Northwest,No Discount,No Discount,2014-02-07,entregue no prazo,7,39.98,1,4.99,0.0
ML Touring Seat/Saddle,S,F,Northwest,No Discount,No Discount,2014-05-13,entregue no prazo,7,74.98,1,35.0,0.0
HL Road Seat/Saddle,S,M,Northwest,No Discount,No Discount,2014-02-17,entregue no prazo,7,81.46,1,21.98,0.0
"ML Road Frame-W - Yellow, 38",S,M,Northwest,No Discount,No Discount,2013-11-12,entregue no prazo,7,71.58,1,34.99,0.0
"Touring-3000 Blue, 50",S,F,Northwest,No Discount,No Discount,2013-09-22,entregue no prazo,7,35.0,1,35.0,0.0
HL Mountain Rear Wheel,S,F,Northwest,No Discount,No Discount,2013-11-29,entregue no prazo,7,13.98,1,8.99,0.0
"Men's Sports Shorts, L",M,M,Northwest,No Discount,No Discount,2014-05-23,entregue no prazo,7,39.98,1,34.99,0.0
"Road-450 Red, 60",M,M,Northwest,No Discount,No Discount,2013-10-08,entregue no prazo,7,64.97,1,4.99,0.0
"LL Road Frame - Black, 62",S,F,Northwest,No Discount,No Discount,2014-06-27,entregue no prazo,7,111.96,1,21.98,0.0
"LL Road Frame - Red, 62",S,F,Northwest,No Discount,No Discount,2014-03-13,entregue no prazo,7,49.97,1,4.99,0.0
"Mountain-200 Silver, 42",S,M,Northwest,No Discount,No Discount,2013-07-29,entregue no prazo,7,119.96,1,49.99,0.0
Fender Set - Mountain,S,F,Northwest,No Discount,No Discount,2014-02-28,entregue no prazo,7,69.99,1,69.99,0.0
"LL Road Frame - Black, 60",M,M,Northwest,No Discount,No Discount,2013-07-06,entregue no prazo,7,39.98,1,4.99,0.0
LL Touring Seat/Saddle,S,F,Northwest,No Discount,No Discount,2014-05-11,entregue no prazo,7,37.29,1,2.29,0.0
"HL Mountain Frame - Silver, 46",S,M,Northwest,No Discount,No Discount,2013-12-31,entregue no prazo,7,196.29,1,35.0,0.0
LL Mountain Seat/Saddle,S,M,Northwest,No Discount,No Discount,2014-01-04,entregue no prazo,7,49.97,1,34.99,0.0
"LL Road Frame - Black, 58",M,M,Northwest,No Discount,No Discount,2014-01-17,entregue no prazo,7,74.98,1,34.99,0.0
ML Road Handlebars,M,M,Northwest,No Discount,No Discount,2013-09-28,entregue no prazo,7,49.97,1,4.99,0.0
"Road-450 Red, 48",S,M,Northwest,No Discount,No Discount,2014-06-07,entregue no prazo,7,63.47,1,34.99,0.0
ML Touring Seat/Saddle,S,F,Northwest,No Discount,No Discount,2014-06-16,entregue no prazo,7,110.46,1,34.99,0.0
